First_Name Middle_Name,Family_Name,Category,Primary Affiliation,Secondary Affiliations,Researcher ID URL,RID
Michael F,Thomashow,Plant & Animal Science,"Michigan State University, USA",,,
Michael F,Toney,Materials Science,"SLAC Natl Accelerator Lab, USA",,,
Michael G,Marmot,"Social Sciences, general","University College London, UK",,,
Michael I,Jordan,Computer Science,"University of California, Berkeley, USA",,,
Michael I,Jordan,Mathematics,"University of California, Berkeley, USA",,,
Michael J,Morwood,"Social Sciences, general","University of New England, Australia","University of Wollongong, Australia",,
Michael J,Owen,Psychiatry/Psychology,"Cardiff University, UK",,,
Michael J,Pencina,Clinical Medicine,"Duke University, USA",,,
Michael J,Thun,Clinical Medicine,"Amer Canc Soc, USA",,,
Michael J,Zaworotko,Chemistry,"University of Limerick, Ireland","King Abdulaziz University  KAU, Saudi Arabia",http://www.researcherid.com/rid/A-7448-2009,A-7448-2009
Michael K,Udvardi,Plant & Animal Science,"Samuel Roberts Noble Fdn Inc, USA",,,
Michael L,Tushman,Economics & Business,"Harvard University, USA",,,
Michael N,Weedon,Molecular Biology & Genetics,"University of Exeter, UK",,,
Michael P,Manns,Clinical Medicine,"Hannover Medical School, Germany",,,
Michael P,Milham,Neuroscience & Behavior,"Child Mind Inst, USA","Nathan S Kline Inst Psychiat Res, USA",,
Michael R,Blanton,Space Science,"New York University, USA",,,
Michael R,Erdos,Molecular Biology & Genetics,"Natl Human Genome Res Inst, USA",,,
Klaus,Meerholz,Materials Science,"University of Koeln, Germany",,,
Klaus,Muellen,Chemistry,"Max Planck Inst Polymer Res, Germany",,,
Klaus,Muellen,Materials Science,"Max Planck Inst Polymer Res, Germany",,,
Klaus F X,Mayer,Plant & Animal Science,"King Saud University, Saudi Arabia",,,
Ko,Shimamoto,Plant & Animal Science,"Nara Institute of Science and Technology, Japan",,,
Konstantin S,Novoselov,Physics,"University of Manchester, United Kingdom",,http://www.researcherid.com/rid/G-9581-2014,G-9581-2014
Koon K,Teo,Clinical Medicine,"McMaster University, Canada",,,
Korbinian,Strimmer,Computer Science,"Imperial College London, United Kingdom",,http://www.researcherid.com/rid/C-1522-2009,C-1522-2009
Korneel,Rabaey,Environment/Ecology,"Ghent University, Belgium","The University of Queensland, Australia",http://www.researcherid.com/rid/D-2798-2009,D-2798-2009
Kristian Skrede,Gleditsch,"Social Sciences, general","University of Essex, United Kingdom",,http://www.researcherid.com/rid/C-7070-2008,C-7070-2008
Kristin G,Ardlie,Molecular Biology & Genetics,"Broad Inst Harvard & MIT, USA",,,
Kristin S,Cadenhead,Psychiatry/Psychology,"University of California, San Diego, USA",,,
Kristine,Yaffe,"Social Sciences, general","University of California, San Francisco, USA",,,
Kristine E,Ensrud,"Social Sciences, general","University of Minnesota, Twin Cities, USA","Vet Affairs Med Ctr, USA",,
Kristopher J,Preacher,Psychiatry/Psychology,"Vanderbilt University, USA",,,
Krzysztof,Matyjaszewski,Chemistry,"Carnegie Mellon University, USA",,,
Kun-Liang,Guan,Molecular Biology & Genetics,"University of California, San Diego, USA",,,
Kuo-Chen,Chou,Biology & Biochemistry,"Gordon Life Science Institute, United States","King Abdulaziz University, Saudi Arabia",http://www.researcherid.com/rid/A-8340-2009,A-8340-2009
Kuo-Chen,Chou,Computer Science,"Gordon Life Science Institute, United States","King Abdulaziz University, Saudi Arabia",http://www.researcherid.com/rid/A-8340-2009,A-8340-2009
Kurunthachalam,Kannan,Environment/Ecology,"New York State Department of Health (70%), USA","State University of New York at Albany (15%), USA; King Abduluziz University (15%), Saudi Arabia",,
Kwangmeyung,Kim,Pharmacology & Toxicology,"Korea Inst Sci & Technol, South Korea",,,
Kwangsik,Park,Pharmacology & Toxicology,"Dongduk Women's University, South Korea",,,
Kyonoshin,Maruyama,Plant & Animal Science,"Japan International Research Center for Agricultural Sciences (JIRCAS), Japan",,http://www.researcherid.com/rid/I-9191-2012,I-9191-2012
L David,Sibley,Microbiology,"Washington University in St. Louis, USA",,,
Ladeana W,Hillier,Molecular Biology & Genetics,"Washington University in St. Louis, USA",,,
Lajos,Pusztai,Clinical Medicine,"Yale University, USA",,,
Lakshmi N,Yatham,Psychiatry/Psychology,"University of British Columbia, Canada",,,
Lambertus A,Kiemeney,Molecular Biology & Genetics,"Radboud University Nijmegen, Netherlands",,,
Lance J,Dixon,Physics,"Stanford University, USA",,,
Lan-Sun,Zheng,Chemistry,"Xiamen University, China",,,
Larry,Norton,Clinical Medicine,"Mem Sloan Kettering Canc Ctr, USA",,,
Larry J,Seidman,Psychiatry/Psychology,"Harvard University, USA","Massachusetts Gen Hosp, USA",,
Larry L,Needham,Environment/Ecology,"Ctr Dis Control & Prevent, USA",,,
Larry W,Horowitz,Geosciences,"NOAA, USA",,,
Lars,Diening,Mathematics,"University of Munich, Germany",,,
Lars,Hernquist,Space Science,"Harvard Smithsonian Ctr Astrophys, USA",,,
Lars,Kober,Clinical Medicine,"Rigshosp, Denmark",,,
Lars C,Wallentin,Clinical Medicine,"Uppsala Clin Res Ctr, Sweden",,,
Lars Juhl,Jensen,Biology & Biochemistry,"University of Copenhagen, Denmark","Technical University of Denmark, Denmark",,
Laura J,Scott,Molecular Biology & Genetics,"University of Michigan - Ann Arbor, USA",,,
Laura J,Van'T Veer,Clinical Medicine,"Netherlands Canc Inst, Netherlands","University of California, San Francisco, USA",,
Laura M,Walker,Microbiology,"Adimab LLC, USA",,,
Lauren M,Brinkac,Microbiology,"J Craig Venter Inst, USA",,,
Laurence,Steinberg,Psychiatry/Psychology,"Temple University, USA","King Abdulaziz University, Saudi Arabia",,
Laurence C,Baker,"Social Sciences, general","Stanford University, USA",,,
Laurence R,Meyer,Biology & Biochemistry,"University of California, Santa Cruz, USA",,,
Laurence S,Rothman,Engineering,"Harvard Smithsonian Ctr Astrophys, USA",,,
Laurent,Poirel,Microbiology,"University of Fribourg, Switzerland","INSERM U914. Kremlin-Bicetre, France",,
Lawrence B,Finer,"Social Sciences, general","Alan Guttmacher Inst, USA",,,
Lawrence Douglas,Frank,"Social Sciences, general","University of British Columbia, Canada","Urban Design 4 Hlth Inc, USA",,
Lawrence J,Appel,Clinical Medicine,"The Johns Hopkins University, USA",,,
Lawrence P,Casalino,"Social Sciences, general","Cornell University, USA",,,
Lee J,Sweetlove,Plant & Animal Science,"University of Oxford, UK",,,
Lee Joseph,Melton,Clinical Medicine,"Mayo Medical School, USA",,,
Leena,Peltonen,Molecular Biology & Genetics,"University of Helsinki, Finland",,,
Leendert C,Van Loon,Plant & Animal Science,"Utrecht University, Netherlands",,,
Lei,Jiang,Chemistry,"Chinese Academy of Sciences, China","Monash University, Australia",,
Lei,Jiang,Materials Science,"Chinese Academy of Sciences, China","Monash University, Australia",,
Lei,Lu,Materials Science,"Chinese Academy of Sciences, China",,,
Leif C,Groop,Molecular Biology & Genetics,"Lund University, Sweden","University of Helsinki, Finland",,
Leiyu,Shi,"Social Sciences, general","The Johns Hopkins University, USA",,,
Lennart,Mucke,Neuroscience & Behavior,"Gladstone Inst Neurol Dis, USA","University of California, San Francisco, USA",,
Leo,Egghe,"Social Sciences, general","University of Hasselt, Belgium","University of Antwerp, Belgium",,
Leo P,Kouwenhoven,Physics,"Delft University of Technology, Netherlands",,,
Leslee J,Shaw,Clinical Medicine,"Emory University, USA",,,
Leslie Z,Benet,Pharmacology & Toxicology,"University of California, San Francisco, USA",,,
Levi A,Garraway,Clinical Medicine,"Broad Inst Harvard & MIT, USA","Dana Farber Canc Inst, USA; Harvard University, USA",,
Lewis C,Cantley,Biology & Biochemistry,"Cornell University, USA",,,
Lewis H,Kuller,Clinical Medicine,"University of Pittsburgh, USA",,,
Lewis J,Rubin,Clinical Medicine,"University of California, San Diego, USA",,,
Lewis L,Lanier,Immunology,"University of California, San Francisco, USA",,,
Lewis Y,Geer,Biology & Biochemistry,"NCBI, NLM, National Institutes of Health, United States",,http://www.researcherid.com/rid/H-2714-2014,H-2714-2014
Liang-Shang,Gan,Pharmacology & Toxicology,"Biogen Idec Inc, USA",,,
Licheng,Sun,Chemistry,"Dalian University of Technology, China","Royal Institute of Technology, Sweden",,
Liejin,Guo,Engineering,"Xian Jiao Tong University, China",,,
Liesbet,Hooghe,"Social Sciences, general","University of North Carolina at Chapel Hill, USA","VU University Amsterdam, Netherlands",,
Lihua,Xie,Engineering,"Nanyang Technological University, Singapore",,,
Li-Jun,Wan,Materials Science,"BNLMS, China","Chinese Academy of Sciences, China",,
Liming,Zhang,Chemistry,"University of California, Santa Barbara, United States",,http://www.researcherid.com/rid/H-5152-2011,H-5152-2011
Lincoln D,Stein,Molecular Biology & Genetics,"University of Toronto, Canada",,,
Linda,Steg,"Social Sciences, general","University of Groningen (RuG), Netherlands",,http://www.researcherid.com/rid/H-6878-2014,H-6878-2014
Linda F,Nazar,Materials Science,"University of Waterloo, Canada",,http://www.researcherid.com/rid/H-2736-2014,H-2736-2014
Linda H,Aiken,"Social Sciences, general","University of Pennsylvania, USA",,,
Linda P,Fried,"Social Sciences, general","Columbia University, USA","The Johns Hopkins University, USA",,
Linda R,Brown,Engineering,"California Institute of Technology, USA",,,
Lisa A,Cooper,"Social Sciences, general","Johns Hopkins Med Inst, USA","The Johns Hopkins University, USA",,
Lisa J,Phillips,Psychiatry/Psychology,"University of Melbourne, Australia",,,
Liukang,Xu,Agricultural Sciences,"LI COR Biosci, USA",,,
Liwei,Gu,Agricultural Sciences,"University of Florida, USA",,,
Lixian,Zhang,Engineering,"Harbin Institute of Technology, China",,http://www.researcherid.com/rid/G-3614-2014,G-3614-2014
Lixiang,Wang,Materials Science,"Chinese Academy of Sciences, China",,,
Loet,Leydesdorff,"Social Sciences, general","University of Amsterdam, Netherlands",,http://www.researcherid.com/rid/E-2903-2010,E-2903-2010
Loren F,Hiratzka,Clinical Medicine,"Good Samaritan Hosp, USA","Cardiac Vasc & Thorac Surg Inc, USA; Bethesda N Hosp, USA",,
Lori L,Bonnycastle,Molecular Biology & Genetics,"NHGRI, USA",,,
Lorraine A,Remer,Geosciences,"University of Maryland Baltimore County, USA",,,
Louis,Fehrenbacher,Clinical Medicine,"Kaiser Permanente Oncol Clin Trials, USA","Natl Surg Adjuvant Breast & Bowel Project NSABP, USA",,
Louis M,Staudt,Clinical Medicine,"NCI, USA",,,
Louisa K,Emmons,Geosciences,"Natl Ctr Atmospher Res, USA",,,
Luc,De Vuyst,Agricultural Sciences,"Vrije University Brussel, Belgium",,,
Lucian A,Bebchuk,"Social Sciences, general","Harvard University, USA, United States",,http://www.researcherid.com/rid/H-2735-2014,H-2735-2014
Luciano,De Petrocellis,Pharmacology & Toxicology,"CNR, Italy",,,
Lucinda,Fulton,Molecular Biology & Genetics,"Washington University in St. Louis, USA",,,
Luigi,Ferrucci,Clinical Medicine,"NIA, USA",,,
Luigi,Ferrucci,"Social Sciences, general","NIA, USA",,,
Luigi,Franchi,Immunology,"University of Michigan - Ann Arbor, USA",,,
Luigi,Frunzio,Physics,"Yale University, USA",,,
Luigi,Guiso,Economics & Business,"King Saudi University, Saudi Arabia","Einaudi Institute for Economics and Finance, Italy",http://www.researcherid.com/rid/A-8394-2015,A-8394-2015
Luigi,Tavazzi,Clinical Medicine,"GVM Care&Research ? E.S. Health Science Foundation, Italy",,,
Luigi,Zingales,Economics & Business,"University of Chicago, USA",,,
Luis,Martin-Moreno,Physics,"University of Zaragoza, Spain",,,
Luis M,Liz-Marzan,Chemistry,"CIC biomaGUNE, Spain","IKERBASQUE, Basque Foundation for Science, Spain",http://www.researcherid.com/rid/B-8910-2011,B-8910-2011
Luis M,Liz-Marzan,Materials Science,"King Saud University, Saudi Arabia","Ikerbasque, Basque Foundation for Science, Spain; CIC biamaGUNE, Spain; University of Vigo, Spain",,
Luisa T,Molina,Geosciences,"Molina Ctr Energy & Environm, USA",,,
Lukas,Wagner,Biology & Biochemistry,"NIH, USA",,,
Luke A J,O'Neill,Pharmacology & Toxicology,"Trinity College Dublin, Ireland",,,
Luke Aj,O'Neill,Immunology,"Trinity College Dublin, Ireland",,,
Lutz,Ackermann,Chemistry,"Georg-August Universitaet Goettingen, Germany",,http://www.researcherid.com/rid/C-8117-2014,C-8117-2014
Lutz,Bornmann,"Social Sciences, general","Max Planck Society, Germany",,http://www.researcherid.com/rid/A-3926-2008,A-3926-2008
Lutz,Kilian,Economics & Business,"University of Michigan - Ann Arbor, USA",,,
Lyman A,Page,Space Science,"Princeton University, USA",,,
Lyn,Wadley,"Social Sciences, general","University of the Witwatersrand, South Africa",,,
Lynden A,Archer,Materials Science,"Cornell University, USA",,,
Lynette A,Hirschman,Computer Science,"Mitre Corp, USA",,,
Lynn S,Fuchs,"Social Sciences, general","Vanderbilt University, USA",,,
Lynne Warner,Stevenson,Clinical Medicine,"Brigham & Womens Hosp, USA",,,
M,Santosh,Geosciences,"Kochi University, Japan",,http://www.researcherid.com/rid/B-2563-2012,B-2563-2012
M Hashem,Pesaran,Economics & Business,"University of Southern California, USA",,,
M Zahid,Hasan,Physics,"Princeton University (50%), USA","King Abdulaziz University (50%), Saudi Arabia",,
Maarten C,Krol,Geosciences,"Utrecht University, Netherlands","University of Wageningen, Netherlands",,
Maciej,Lewenstein,Physics,"ICFO - Institut de Ciencies Fotoniques, Spain","ICREA - Institució Catalana de Recerca i Estudis Avançats, Spain",http://www.researcherid.com/rid/I-1337-2014,I-1337-2014
Madhukar H,Trivedi,Psychiatry/Psychology,"The University of Texas Southwestern Medical Center at Dallas, USA",,,
Madjid Eshaghi,Gordji,Mathematics,"Res Grp Nonlinear Anal & Applicat RGNAA, Iran","Semnan University, Iran",,
Maggie,Paulose,Materials Science,"University of Houston, USA",,,
Magnus,Ingelman-Sundberg,Pharmacology & Toxicology,"Karolinska Institute, Sweden",,,
Magnus,Rueping,Chemistry,"RWTH Aachen University, Germany",,,
Mahzarin R,Banaji,Psychiatry/Psychology,"Harvard University, USA",,,
Maiken,Nedergaard,Neuroscience & Behavior,"University of Rochester, USA",,,
Makoto,Matsuoka,Plant & Animal Science,"Nagoya University, Japan",,http://www.researcherid.com/rid/I-6212-2014,I-6212-2014
Malcolm J,Bennett,Plant & Animal Science,"The University of Nottingham, UK",,,
Mamoru,Doi,Space Science,"The University of Tokyo, Graduate School of Science, Institute of Astronomy, Japan","The University of Tokyo, Institute for the Physics and Mathematics of the Universe, Japan",http://www.researcherid.com/rid/A-4444-2011,A-4444-2011
Manjula R,Canagaratna,Engineering,"Aerodyne Res Inc, USA",,,
Manjula R,Canagaratna,Geosciences,"Aerodyne Res Inc, USA",,,
Manolis,Kellis,Molecular Biology & Genetics,"Massachusetts Institute of Technology (MIT), USA",,,
Mansoor M,Amiji,Pharmacology & Toxicology,"Northeastern University, USA","King Abdulaziz University, Saudi Arabia",,
Manuela,Uda,Molecular Biology & Genetics,"CNR, Italy","Ist Neurogenet & Neurofarmacol CNR, Italy",,
Marc,Aubinet,Agricultural Sciences,"University of Liege, Belgium",,,
Marc,Feuermann,Biology & Biochemistry,"Swiss Inst Bioinformat, Switzerland","CMU, Switzerland; EBI, UK",,
Marc,Humbert,Clinical Medicine,"University of Paris Sud (Paris 11), France","Inserm, France; Assistance Publique - H?pitaux de Paris, France",,
Marc,Van De Vijver,Clinical Medicine,"University of Amsterdam, Netherlands",,,
Marc,Vidal,Biology & Biochemistry,"Dana Farber Canc Inst, USA","Harvard University, USA",,
Marc A,Pfeffer,Clinical Medicine,"Brigham & Womens Hosp, USA",,,
Marc J,Melitz,Economics & Business,"Harvard University, USA",,,
Marc N,Elliott,"Social Sciences, general","RAND Corp, USA",,,
Marcel B,Roberfroid,Agricultural Sciences,"Catholic University of Louvain, Belgium",,,
Marcia L,Stefanick,Clinical Medicine,"Stanford University, USA",,,
Marco,Colonna,Immunology,"Washington University in St. Louis, USA",,,
Marco,Liserre,Engineering,"Christian-Albrechts-Universität zu Kiel (CAU-Kiel), Germany",,http://www.researcherid.com/rid/C-2857-2011,C-2857-2011
Marco,Pahor,"Social Sciences, general","University of Florida, USA",,,
Marco A,Marra,Molecular Biology & Genetics,"British Columbia Canc Res Ctr, Canada","University of British Columbia, Canada; Simon Fraser University, Canada",,
Marcus E,Raichle,Neuroscience & Behavior,"Washington University in St. Louis, USA",,,
Margaret P,Rayman,Agricultural Sciences,"University of Surrey, UK",,,
Margaret S,Pepe,Mathematics,"Fred Hutchinson Canc Res Ctr, USA",,,
Maria Cristina,Facchini,Geosciences,"CNR, Inst Atmospher Sci & Climate, Italy",,http://www.researcherid.com/rid/B-3369-2014,B-3369-2014
Maria Jesus,Martin,Biology & Biochemistry,"European Bioinformat Inst, UK",,,
Marian,Valko,Pharmacology & Toxicology,"Slovak University of Technology in Bratislava, Slovakia",,http://www.researcherid.com/rid/B-5022-2011,B-5022-2011
Marian,Vanhaeren,"Social Sciences, general","University of Bordeaux 1, France",,,
